Competence,Frequence,Pct_Offres
AutoCAD,37,4.7
AWS,32,4.1
SAP,31,4.0
SAGE,31,4.0
Éthique médicale,30,3.8
React,30,3.8
Azure,29,3.7
Agile/Scrum,29,3.7
Audit,27,3.4
Consolidation,27,3.4
Soins infirmiers,27,3.4
TypeScript,27,3.4
Kubernetes,27,3.4
Paie,26,3.3
Diagnostic,26,3.3
PLC/SCADA,26,3.3
Java,26,3.3
IFRS,26,3.3
Node.js,25,3.2
Docker,25,3.2
Droit du travail,25,3.2
Pharmacologie,24,3.1
MongoDB,24,3.1
REST API,24,3.1
Linux,24,3.1
Git,23,2.9
SQL,23,2.9
JavaScript,22,2.8
TensorFlow,22,2.8
AMDEC,21,2.7
Excel avancé,21,2.7
Lean Manufacturing,19,2.4
Power BI,19,2.4
Accueil client,18,2.3
ISO 9001,17,2.2
Gestion réservations,17,2.2
Python,17,2.2
Négociation,16,2.0
SEO,16,2.0
Langues étrangères,16,2.0
CRM,15,1.9
Email Marketing,15,1.9
Google Ads,15,1.9
Salesforce,14,1.8
Revit,14,1.8
Béton armé,14,1.8
Pack Office,14,1.8
SolidWorks,14,1.8
MS Project,13,1.7
Analyse de marché,9,1.1
