Titre_Poste,Secteur,Nb_Offres,Salaire_Moyen,Salaire_Median,Salaire_Min,Salaire_Max,Delai_Moyen,Nb_Entreprises,Score_Attractivite
Chef de Projet IT,Autres,15,9000,9000,9000.0,9000.0,25.0,12,33.3
Comptable,Finance & Rh,13,10500,10500,10500.0,10500.0,25.0,10,37.2
Commercial B2B,Commerce,9,9000,9000,9000.0,9000.0,28.0,7,30.7
pharmacien,Santé,9,14689,15000,12000.0,18000.0,25.6,8,47.3
Analyste Finance,Finance & Rh,8,12983,12305,4751.0,22100.0,13.4,6,53.7
Guide,Tourisme,8,4925,5100,4000.0,5600.0,23.2,7,24.6
ML Ingénieur,It & Tech,8,16362,17200,9800.0,22300.0,31.5,8,46.4
ing production,Industrie,8,10098,9950,3916.0,15500.0,22.5,6,38.3
comptable,Finance & Rh,7,7500,6600,5200.0,10500.0,27.3,6,27.5
chef de projet,It & Tech,7,17529,17300,11900.0,23300.0,30.1,5,50.6
Technicien maintenance,Industrie,7,7300,5700,5200.0,10500.0,30.9,6,23.8
Marketing Digital,Commerce,7,11012,10100,4184.0,17800.0,24.6,5,38.8
Médecin,Santé,7,19400,13800,12000.0,30700.0,26.0,6,58.9
Réceptionniste hôtel,Tourisme,7,5429,5100,3500.0,9300.0,22.5,7,26.5
RESPONSABLE COMMERCIAL,Commerce,6,13852,12450,11110.0,19600.0,29.2,6,42.0
analyste financier,Finance & Rh,6,11317,11100,8100.0,14100.0,29.8,6,35.0
tech maintenance,Industrie,6,8222,7300,4933.0,12900.0,24.7,5,31.6
RESPONSABLE RH,Finance & Rh,6,12433,11600,10500.0,17100.0,34.2,6,34.0
Responsable RH,Autres,6,9000,9000,9000.0,9000.0,25.0,5,33.3
Paie Manager,Finance & Rh,6,11100,10900,7000.0,14100.0,18.0,5,44.8
Developpeur FullStack,It & Tech,6,12808,13550,3145.0,19600.0,26.5,4,41.7
Ingénieur réseau,It & Tech,6,12617,12700,10100.0,14100.0,33.5,5,35.1
MARKETING DIGITAL,Commerce,6,12878,10900,4471.0,21700.0,29.2,4,39.5
Machine Learning Engineer,It & Tech,6,18300,17300,12000.0,26700.0,30.7,4,52.0
Ingénieur Réseau,Autres,6,9000,9000,9000.0,9000.0,25.0,4,33.3
Chef de Projet IT,Industrie,6,8500,8500,8500.0,8500.0,30.0,6,27.7
DevOps,It & Tech,6,15617,14400,10300.0,26500.0,18.8,5,55.6
Responsable qualité,Industrie,5,8320,8200,6700.0,11200.0,31.8,5,25.6
Data Engneer,It & Tech,5,14200,11600,9900.0,20300.0,23.8,5,47.6
Responsable RH,Finance & Rh,5,9180,10300,6000.0,10500.0,26.4,4,32.6
Admin Système,It & Tech,5,11700,11700,8700.0,15000.0,34.0,5,32.3
