ID_Offre,Competence,Secteur,Titre_Poste,Ville
OFF-0001,Iso 9001,Industrie,Responsable Qualité,Rabat
OFF-0001,Lean Manufacturing,Industrie,Responsable Qualité,Rabat
OFF-0002,Crm,Commerce,Community Manager,Tanger
OFF-0002,Analyse De Marché,Commerce,Community Manager,Tanger
OFF-0003,Amdec,Industrie,Ingénieur Production,Casablanca
OFF-0003,Lean Manufacturing,Industrie,Ingénieur Production,Casablanca
OFF-0003,Iso 9001,Industrie,Ingénieur Production,Casablanca
OFF-0004,Négociation,Commerce,Chargé Marketing Digital,Casablanca
OFF-0004,Email Marketing,Commerce,Chargé Marketing Digital,Casablanca
OFF-0004,Seo,Commerce,Chargé Marketing Digital,Casablanca
OFF-0004,Excel,Commerce,Chargé Marketing Digital,Casablanca
OFF-0006,Audit,Finance & Rh,Responsable RH,Meknès
OFF-0006,Excel Avancé,Finance & Rh,Responsable RH,Meknès
OFF-0006,Consolidation,Finance & Rh,Responsable RH,Meknès
OFF-0006,Sap,Finance & Rh,Responsable RH,Meknès
OFF-0006,Paie,Finance & Rh,Responsable RH,Meknès
OFF-0007,Git,It & Tech,Développeur Frontend,Tanger
OFF-0007,Azure,It & Tech,Développeur Frontend,Tanger
OFF-0007,Agile,It & Tech,Développeur Frontend,Tanger
OFF-0007,Scrum,It & Tech,Développeur Frontend,Tanger
OFF-0007,Node.Js,It & Tech,Développeur Frontend,Tanger
OFF-0007,Javascript,It & Tech,Développeur Frontend,Tanger
OFF-0008,Crm,Commerce,Resp. Commercial,Kénitra
OFF-0008,Analyse De Marché,Commerce,Resp. Commercial,Kénitra
OFF-0008,Email Marketing,Commerce,Resp. Commercial,Kénitra
OFF-0008,Seo,Commerce,Resp. Commercial,Kénitra
OFF-0008,Salesforce,Commerce,Resp. Commercial,Kénitra
OFF-0009,Docker,It & Tech,Chef de Projet IT,Marrakech
OFF-0009,Azure,It & Tech,Chef de Projet IT,Marrakech
OFF-0011,Sage,Finance & Rh,Responsable Rh,Agadir
OFF-0011,Audit,Finance & Rh,Responsable Rh,Agadir
OFF-0011,Droit Du Travail,Finance & Rh,Responsable Rh,Agadir
OFF-0012,Java,It & Tech,Administrateur Système,Casablanca
OFF-0012,Agile,It & Tech,Administrateur Système,Casablanca
OFF-0012,Scrum,It & Tech,Administrateur Système,Casablanca
OFF-0013,Éthique Médicale,Santé,Pharmacien,Casablanca
OFF-0013,Diagnostic,Santé,Pharmacien,Casablanca
OFF-0013,Pharmacologie,Santé,Pharmacien,Casablanca
OFF-0013,Soins Infirmiers,Santé,Pharmacien,Casablanca
OFF-0014,Revit,Btp,Ingénieur Génie Civil,Casablanca
OFF-0014,Béton Armé,Btp,Ingénieur Génie Civil,Casablanca
OFF-0014,Autocad,Btp,Ingénieur Génie Civil,Casablanca
OFF-0014,Gestion De Chantier,Btp,Ingénieur Génie Civil,Casablanca
OFF-0015,Mongodb,It & Tech,Data-Scientist,Casablanca
OFF-0015,Typescript,It & Tech,Data-Scientist,Casablanca
OFF-0016,Javascript,It & Tech,Ingénieur Réseau,Casablanca
OFF-0016,Typescript,It & Tech,Ingénieur Réseau,Casablanca
OFF-0016,Power Bi,It & Tech,Ingénieur Réseau,Casablanca
OFF-0017,Ifrs,Finance & Rh,Auditeur Financier,Kénitra
OFF-0017,Droit Du Travail,Finance & Rh,Auditeur Financier,Kénitra
OFF-0017,Consolidation,Finance & Rh,Auditeur Financier,Kénitra
OFF-0018,Seo,Commerce,Community Manager,Oujda
OFF-0018,Google Ads,Commerce,Community Manager,Oujda
OFF-0018,Email Marketing,Commerce,Community Manager,Oujda
OFF-0019,Ms Project,Btp,Ingénieur Génie Civil,Marrakech
