Type_Contrat,Experience_Requise,Secteur,Nb_Offres,Salaire_Min,Salaire_Moyen,Salaire_Max,Salaire_Median
CDI,0-2 ans,It & Tech,81,6900,11244,13800,12000
CDI,2-5 ans,Autres,61,9000,9000,9000,9000
CDI,2-5 ans,It & Tech,56,4425,13075,18100,12000
CDI,0-2 ans,Autres,40,9000,9000,9000,9000
CDI,2-5 ans,Finance & Rh,27,6000,10274,13200,10500
CDI,0-2 ans,Finance & Rh,24,5200,9448,10560,10500
CDI,2-5 ans,Commerce,24,6800,9525,12600,9000
CDI,5-8 ans,It & Tech,20,12000,17225,22700,18350
CDI,5-8 ans,Finance & Rh,14,7600,12493,17000,13350
CDD,2-5 ans,It & Tech,14,8700,11985,15300,12450
CDD,0-2 ans,It & Tech,13,6500,9785,12000,9900
CDI,2-5 ans,Industrie,13,6300,8538,11000,8500
CDI,0-2 ans,Commerce,12,5600,8442,11110,9000
CDI,0-2 ans,Industrie,12,5300,7472,8500,7750
CDI,2-5 ans,Tourisme,11,4700,5550,6000,5600
CDI,Non renseigné,It & Tech,11,11000,17545,26800,16400
CDI,0-2 ans,Tourisme,10,3500,4480,6000,4100
CDI,2-5 ans,Santé,9,7300,12200,19900,12000
CDI,0-2 ans,Santé,9,3895,9188,12400,10600
Freelance,5-8 ans,Finance & Rh,9,9800,15374,22100,14100
Freelance,0-2 ans,It & Tech,8,10400,12350,15300,12150
CDD,5-8 ans,It & Tech,8,11200,15272,19580,15350
CDI,2-5 ans,Btp,7,9400,10463,11400,10800
CDD,0-2 ans,Industrie,6,5200,6633,8500,6650
CDD,2-5 ans,Finance & Rh,6,5700,8683,11000,8950
Freelance,2-5 ans,Finance & Rh,6,7700,11547,13500,12240
CDI,Non renseigné,Santé,6,7400,15943,30700,14830
CDD,Non renseigné,It & Tech,6,10100,14000,17900,14450
CDI,8+ ans,Commerce,5,9000,14380,21600,12700
CDI,5-8 ans,Commerce,5,8700,11698,16200,11500
CDI,8+ ans,It & Tech,5,15500,19140,25900,17600
CDI,5-8 ans,Tourisme,5,5600,6462,7810,6500
Freelance,2-5 ans,Commerce,5,9000,11696,15180,10900
CDI,Non renseigné,Finance & Rh,5,6600,14320,21100,14700
CDI,0-2 ans,Btp,5,7900,8448,10340,8000
Stage,2-5 ans,It & Tech,5,2630,4986,12000,3192
CDD,8+ ans,It & Tech,4,14100,14525,15100,14450
CDD,0-2 ans,Finance & Rh,4,7800,9225,10500,9300
