Mois_Annee,Secteur,Nb_Offres,Salaire_Moyen
2024-03,It & Tech,11,13918
2024-03,Finance & Rh,6,12147
2024-03,Commerce,4,9500
2024-03,Tourisme,3,6017
2024-03,Industrie,2,8900
2024-03,Btp,1,7900
2024-03,Santé,1,13400
2024-04,It & Tech,12,12932
2024-04,Tourisme,6,6833
2024-04,Btp,3,9167
2024-04,Commerce,3,9300
2024-04,Santé,3,14400
2024-04,Industrie,2,10700
2024-04,Finance & Rh,1,5200
2024-05,It & Tech,17,11811
2024-05,Finance & Rh,7,10200
2024-05,Commerce,5,8539
2024-05,Industrie,5,7520
2024-05,Santé,4,9729
2024-05,Btp,1,3075
2024-06,It & Tech,11,15157
2024-06,Finance & Rh,8,13515
2024-06,Santé,4,19800
2024-06,Industrie,3,9658
2024-06,Tourisme,3,3873
2024-06,Btp,2,10350
2024-06,Commerce,2,14350
2024-07,It & Tech,18,12222
2024-07,Finance & Rh,11,9136
2024-07,Industrie,7,10614
2024-07,Btp,5,12440
2024-07,Commerce,4,11595
2024-07,Santé,3,10767
2024-07,Tourisme,2,6050
2024-08,It & Tech,14,13594
2024-08,Finance & Rh,10,11283
2024-08,Industrie,3,7967
2024-08,Santé,3,12200
2024-08,Tourisme,3,4567
2024-08,Btp,2,11850
2024-08,Commerce,2,10650
2024-09,It & Tech,8,15399
2024-09,Santé,6,12033
2024-09,Commerce,4,9740
2024-09,Finance & Rh,4,12075
2024-09,Industrie,2,7950
2024-09,Btp,1,19600
2024-09,Tourisme,1,4400
2024-10,It & Tech,13,12738
2024-10,Commerce,5,12220
2024-10,Finance & Rh,3,12400
2024-10,Tourisme,3,4733
2024-10,Btp,2,11100
2024-10,Industrie,2,7600
2024-10,Santé,2,8947
2024-11,It & Tech,12,11799
2024-11,Btp,2,11470
2024-11,Commerce,2,9752
2024-11,Finance & Rh,2,9200
2024-11,Industrie,2,6382
2024-11,Santé,2,14800
2024-11,Tourisme,2,5350
2024-12,It & Tech,18,13634
2024-12,Finance & Rh,9,9885
2024-12,Industrie,5,6967
2024-12,Santé,4,10125
2024-12,Tourisme,4,4900
2024-12,Btp,2,9000
2025-01,It & Tech,11,12664
2025-01,Finance & Rh,6,11008
2025-01,Commerce,3,11600
2025-01,Industrie,3,9033
2025-01,Santé,1,12900
2025-01,Tourisme,1,8700
2025-02,Finance & Rh,11,10267
2025-02,It & Tech,10,12750
2025-02,Commerce,3,8800
2025-02,Santé,3,20500
2025-03,It & Tech,1,9460
2026-04,Autres,107,9000
2026-04,It & Tech,56,12000
2026-04,Finance & Rh,30,10500
2026-04,Commerce,18,9000
2026-04,Industrie,13,8500
2026-04,Tourisme,6,6000
2026-04,Btp,2,8000
2026-04,Santé,2,11000
